 ,source,target
/Loc_UI_OptionMenu_GraphicsHeader, Graphics - , 图形 - 
/Loc_UI_Subterminals_IncineratorRoom_Text6,"- Barbara R: 82 hours
- Chris T: 65 hours
- Patrick K: 115 hours
- Milton Z: 40 hours * (Red Flag)","- 芭芭拉·R (Barbara R)：82小时
- 克里斯·T (Chris T)：65小时
- 帕特里克·K (Patrick K)：115小时
- 米尔顿·Z (Milton Z)：40小时 *(红色警告)"
/622CD494459F70964FB5AC8DA5A7EA03,...,
/FA302CA94D001284E128BB8386A2298A,ADDITIONAL SUPPORT,额外支持
/Loc_UI_OptionsMenu_AUDIOOPTIONS,AUDIO OPTIONS,音频选项
/Loc_UI_Autosave_AUTOSAVE,AUTOSAVE,自动保存
/Loc_UI_Subterminals_InventorsHouseAttic_Text3,Access Alt Fazbear Designs,访问备用费斯熊设计
/Loc_UI_Subterminals_IncineratorRoom_Text4,"Access Denied. 

All recycling chutes must be filled before Incinerator is activated. Keep the lights on by activating Incinerator Conveyer Belt!

All power quotas must be met before leaving the facility.","拒绝访问。

 必须先填满所有回收槽才能启动焚化炉。保持灯光开启，请激活焚化炉传送带！

 离开设施前，所有用电配额必须完成。"
/Loc_UI_Subterminals_IncineratorRoom_Text3,Access Doll Hospital,进入人偶医院
/Loc_UI_Subterminals_AdminWing_Text2,Access Finance Logs,查看财务日志
/Loc_UI_UpgradeStation_AccessGranted,Access Granted!,访问已授权！
/Loc_UI_Subterminals_AdminWingSurv_Text2,Access M.I.M.I.C. Blueprints,查看M.I.M.I.C.蓝图
/Loc_UI_Subterminals_IncineratorRoom_Text2,Access Power Reactor Core,进入反应堆核心
/Loc_UI_Subterminals_InventorsHouseAttic_Text5,Access Puppet Designs,查看木偶设计图
/Loc_UI_Subterminals_AdminWing_Text3,Access Surveillance Room,进入监控室
/Loc_UI_Subterminals_InventorsHouseAttic_Text2,Access Surveillance Room,进入监控室
/Loc_UI_Subterminals_IncineratorRoom_Text5,Access Time Cards,查看考勤卡
/BE8C804B43846BD36FCA1E90222C8305,Action,操作
/Loc_UI_Terminals_Footercontrols_Action,Action,操作
/Loc_UI_Subterminals_R&D_Text2,Activate Stage Lights,启动舞台灯光
/Loc_UI_PermissionLevel_Admin,Admin,管理员
/Loc_UI_UpgradeStation_AdminUpgradeStation_Text1,Admin Permission Gained!,已获得管理员权限！
/Loc_UI_Subterminals_AdminWingSurv_TerminalName,Admin Surveillance controls 1.00,管理端监控控制 1.00
/Loc_UI_UpgradeStation_AdminUpgrade,Admin Upgrade,管理员升级
/Loc_UI_Subterminals_AdminWing_TerminalName,Admin Wing controls 1.00,行政区控制 1.00
/Loc_UI_OptionsMenu_Anti-Alias,Anti-Alias,抗锯齿
/Loc_UI_OptionsBottomBar_Apply,Apply,应用
/Loc_UI_Widgets_GameMenu_PopUps_NewGameConfirmation_Text1,Are you sure?,你确定吗？
/Loc_UI_Subterminals_Workshop_TerminalName,Assembly controls 1.00,装配控制 1.00
/Loc_UI_Subterminals_InventorsHouseAttic_TerminalName,Attic controls 1.00,阁楼控制 1.00
/Loc_UI_OptionsMenu_Audio,Audio,音频
/Loc_UI_DLSSMenu_Auto,Auto,自动
/Loc_UI_OptionsBottomBar_Back,Back,返回
/Loc_UI_InputBinding_Backward,Backward,向后
/Loc_UI_Subterminals_AdminWing_Text4,"Balance: $500
Invoice 7466: FB $900 cash owed
Balance: $-800
Revenue for Q3: -$5000","余额：$500
 发票7466：应付款$900(FB 现金)
 余额：-$800
 第三季度营收：-$5000"
/Loc_UI_DLSS_balanced,Balanced,均衡
/E624801F4C647E71970B2B9CAECDF6F3,Birthday Film - Blue,生日胶片-蓝
/74D792CD449D19227AD2FF93C64B350E,Birthday Film - Green,生日胶片-绿
/50381B394A8F63B71F433ABC3D93B8B8,Birthday Film - Magenta,生日胶片-红
/C74C544F4A2CEE8F0947B49490218614,Birthday Film - Red,生日胶片-红
/1651682949F28399E24B80A26FB48E4D,Birthday Film - Yellow,生日胶片-黄
/Loc_UI_OptionsMenu_BorderlessWIndowed,Borderless Windowed,无边框窗口
/Loc_UI_OptionsMenu_Brightness,Brightness,亮度
/Loc_UI_Menus_GraphicsOptions_BGSS,Brightness Setup,亮度设置
/108714384F97E6EA646D56950C623EA2,Button  Text,按钮文本
/7C6D4AA849B0F994882402A0DD288A58,Button  Text,按钮文本
/Loc_UI_Options_Controls_Cancel,Cancel,取消
/Loc_UI_OptionsBottomBar_ChangeOption,Change Option,更改选项
/Loc_UI_OptionsMenu_Character,Character,角色
/ACB037B74CB165F48459DFBEA88D3207,Chica's Party World,奇卡的派对世界
/Loc_UI_OptionsMenu_Chinese(Tranditional),Chinese (Tranditional),中文(繁体)
/Loc_UI_OptionsMenu_Chinese(Simplified),Chinese(Simplified),中文(简体)
/3A49FD2146C844D1A7D2BF81C363CCAB,Click,点击
/Loc_UI_ProfileSelect_ClockIn,Clock In,打卡
/Loc_UI_InventoryCategorySelection_Collectibles,Collectibles,可收集物
/Loc_UI_OptionsMenu_ColorBlindFilter,Color Blind Filter,色盲滤镜
/Loc_UI_OptionsMenu_ColorBlindOptions,Color Blind Options,色盲模式
/Loc_UI_OptionsMenu_Contrast,Contrast,对比度
/Loc_UI_Menus_ControlsOptions_Controls,Controls,控制设置
/Loc_UI_PermissionLevel_Creator,Creator,创作者
/Loc_UI_UpgradeStation_CreatorPermissionGained,Creator Permission Gained!,已获得创作者权限！
/Loc_UI_UpgradeStation_CreatorUpgrade,Creator Upgrade,创作者升级
/Loc_UI_Menus_ControlsOptions_Crouch,Crouch,蹲下
/Loc_UI_OptionsMenu_CrouchType,Crouch Type,蹲伏类型
/Loc_UI_Subterminals_General_Cursor,Cursor,光标
/0CD66EB648EC7CF215A943BC53D98EEE,DEFAULT,默认
/77E797194242FB7F75C8D292506450AE,DEFAULT LEFT,默认左
/ABCB48614E71A4048DB297A61F0584DB,DEFAULT RIGHT,默认右
/Loc_UI_OptionsMenu_DLSS,DLSS,DLSS
/Loc_UI_OptionsMenu_DLSSFrameGeneration,DLSS Frame Generation,DLSS 帧生成
/Loc_UI_OptionsMenu_DLSSSuperRes,DLSS Super Res,DLSS 超分辨率
/3EC4888D4D2870C4AB0FDBA430E65DCA,DOOR CLOSE,关门
/Loc_UI_UpgradeStation_DataDiverAccess,Data Diver Access,数据潜入器访问
/Loc_UI_UpgradeStation_DataDiverReady,Data Diver Ready For Upgrade,数据潜入器准备升级
/Loc_UI_UpgradeStation_PhysicalUpgradeStation_DataDiverUpgrade,Data Diver Upgrade,数据潜入器升级
/Loc_UI_OptionsBottomBar_Defaults,Defaults,恢复默认
/Loc_UI_ProfileSelect_DeleteProfile1,Delete Profile 1,删除档案1
/Loc_UI_ProfileSelect_DeleteProfile2,Delete Profile 2,删除档案2
/Loc_UI_ProfileSelect_DeleteProfile3,Delete Profile 3,删除档案3
/Loc_UI_MainTerminal_Logs_Details,Details,详细信息
/Loc_UI_OptionsMenu_Deuternopia,Deuternopia,绿视盲(Deuternopia)
/Loc_UI_Autosave_Text1,"Do not turn off the power
when you see this symbol.","   当你看到此符号时。
        请不要断电!"
/Loc_UI_Menus_ControlsOptions_Down,Down,向下
/Loc_UI_Options_Controls_Drop,Drop,丢弃
/Loc_UI_OptionsMenu_DynamicFOV,Dynamic FOV,动态视角
/Loc_UI_MainTerminal_2DGame_UpgradeStation_Text1,"Editing Permission...
 a. Touch Bits with the cursor to flip them.
 b. Flip all Bits to 1.
 c. Avoid touching corrupted Bits.","编辑权限…
 a. 用光标点触比特进行翻转。
 b. 将所有比特翻为1。
 c. 避免接触损坏的比特。"
/Loc_UI_Subterminals_InventorsHouseAttic_Text1,"Edwin Personal Computer,. H.E.L.P.E.R. bios ver 2.32 initiated.",埃德温个人电脑，H.E.L.P.E.R. bios版本2.32已启动。
/Loc_UI_OptionsMenu_Effects,Effects,特效
/Loc_UI_Subterminals_Workshop_Text3,Energize Springlock,激活弹簧锁
/Loc_UI_OptionsMenu_English,English,英语
